XM_ID,XP_ID
XM_043145912.1,XP_043014611.1
XM_043145913.1,XP_043014612.1
XM_043145914.1,XP_043014613.1
XM_043145915.1,XP_043014614.1
XM_043145916.1,XP_043014615.1
XM_043145917.1,XP_043014616.1
XM_043145918.1,XP_043014617.1
XM_043145919.1,XP_043014618.1
XM_043145920.1,XP_043014619.1
XM_043145921.1,XP_043014620.1
XM_043160696.1,XP_043014621.1
XM_043145922.1,XP_043014622.1
XM_043145923.1,XP_043014623.1
XM_043145924.1,XP_043014624.1
XM_043145925.1,XP_043014625.1
XM_043145926.1,XP_043014626.1
XM_043145928.1,XP_043014628.1
XM_043145927.1,XP_043014627.1
XM_043145929.1,XP_043014629.1
XM_043145930.1,XP_043014630.1
XM_043145931.1,XP_043014631.1
XM_043145932.1,XP_043014632.1
XM_043145933.1,XP_043014633.1
XM_043145934.1,XP_043014634.1
XM_043145936.1,XP_043014636.1
XM_043145935.1,XP_043014635.1
XM_043145937.1,XP_043014637.1
XM_043145938.1,XP_043014638.1
XM_043145939.1,XP_043014639.1
XM_043145940.1,XP_043014640.1
XM_043145941.1,XP_043014641.1
XM_043145942.1,XP_043014642.1
XM_043145943.1,XP_043014643.1
XM_043145944.1,XP_043014644.1
XM_043145945.1,XP_043014645.1
XM_043145946.1,XP_043014646.1
XM_043145947.1,XP_043014647.1
XM_043145948.1,XP_043014648.1
XM_043145949.1,XP_043014649.1
XM_043145950.1,XP_043014650.1
XM_043145951.1,XP_043014651.1
XM_043145952.1,XP_043014652.1
XM_043145953.1,XP_043014653.1
XM_043145954.1,XP_043014654.1
XM_043145955.1,XP_043014655.1
XM_043145956.1,XP_043014656.1
XM_043145957.1,XP_043014657.1
XM_043145958.1,XP_043014658.1
XM_043145959.1,XP_043014659.1
XM_043145960.1,XP_043014660.1
XM_043145961.1,XP_043014661.1
XM_043145962.1,XP_043014662.1
XM_043145963.1,XP_043014663.1
XM_043145964.1,XP_043014664.1
XM_043145965.1,XP_043014665.1
XM_043145966.1,XP_043014666.1
XM_043145967.1,XP_043014667.1
XM_043145968.1,XP_043014668.1
XM_043145969.1,XP_043014669.1
XM_043145970.1,XP_043014670.1
XM_043145971.1,XP_043014671.1
XM_043145972.1,XP_043014672.1
XM_043145973.1,XP_043014673.1
XM_043145974.1,XP_043014674.1
XM_043145975.1,XP_043014675.1
XM_043145976.1,XP_043014676.1
XM_043145977.1,XP_043014677.1
XM_043145978.1,XP_043014678.1
XM_043145979.1,XP_043014679.1
XM_043145980.1,XP_043014680.1
XM_043145981.1,XP_043014681.1
XM_043145982.1,XP_043014682.1
XM_043145983.1,XP_043014683.1
XM_043145984.1,XP_043014684.1
XM_043145985.1,XP_043014685.1
XM_043145987.1,XP_043014687.1
XM_043145986.1,XP_043014686.1
XM_043145988.1,XP_043014688.1
XM_043145989.1,XP_043014689.1
XM_043145990.1,XP_043014690.1
XM_043145991.1,XP_043014691.1
XM_043145992.1,XP_043014692.1
XM_043145993.1,XP_043014693.1
XM_043145994.1,XP_043014694.1
XM_043145995.1,XP_043014695.1
XM_043145996.1,XP_043014696.1
XM_043145997.1,XP_043014697.1
XM_043145998.1,XP_043014698.1
XM_043145999.1,XP_043014699.1
XM_043146000.1,XP_043014700.1
XM_043146001.1,XP_043014701.1
XM_043146002.1,XP_043014702.1
XM_043146004.1,XP_043014704.1
XM_043146003.1,XP_043014703.1
XM_043146006.1,XP_043014706.1
XM_043146005.1,XP_043014705.1
XM_043146007.1,XP_043014707.1
XM_043146008.1,XP_043014708.1
XM_043146009.1,XP_043014709.1
XM_043146010.1,XP_043014710.1
XM_043146011.1,XP_043014711.1
XM_043146012.1,XP_043014712.1
XM_043146013.1,XP_043014713.1
XM_043146014.1,XP_043014714.1
XM_043146015.1,XP_043014715.1
XM_043146016.1,XP_043014716.1
XM_043146018.1,XP_043014718.1
XM_043146017.1,XP_043014717.1
XM_043146019.1,XP_043014719.1
XM_043146020.1,XP_043014720.1
XM_043146021.1,XP_043014721.1
XM_043146022.1,XP_043014722.1
XM_043146023.1,XP_043014723.1
XM_043146024.1,XP_043014724.1
XM_043146025.1,XP_043014725.1
XM_043146026.1,XP_043014726.1
XM_043146027.1,XP_043014727.1
XM_043146028.1,XP_043014728.1
XM_043146029.1,XP_043014729.1
XM_043146030.1,XP_043014730.1
XM_043146031.1,XP_043014731.1
XM_043146032.1,XP_043014732.1
XM_043146033.1,XP_043014733.1
XM_043146034.1,XP_043014734.1
XM_043146035.1,XP_043014735.1
XM_043146036.1,XP_043014736.1
XM_043146037.1,XP_043014737.1
XM_043146038.1,XP_043014738.1
XM_043146039.1,XP_043014739.1
XM_043146040.1,XP_043014740.1
XM_043146041.1,XP_043014741.1
XM_043146042.1,XP_043014742.1
XM_043146043.1,XP_043014743.1
XM_043146044.1,XP_043014744.1
XM_043146045.1,XP_043014745.1
XM_043146046.1,XP_043014746.1
XM_043146047.1,XP_043014747.1
XM_043146048.1,XP_043014748.1
XM_043146049.1,XP_043014749.1
XM_043146050.1,XP_043014750.1
XM_043146051.1,XP_043014751.1
XM_043146052.1,XP_043014752.1
XM_043146053.1,XP_043014753.1
XM_043146054.1,XP_043014754.1
XM_043146055.1,XP_043014755.1
XM_043146056.1,XP_043014756.1
XM_043146057.1,XP_043014757.1
XM_043146058.1,XP_043014758.1
XM_043146059.1,XP_043014759.1
XM_043146060.1,XP_043014760.1
XM_043146061.1,XP_043014761.1
XM_043146062.1,XP_043014762.1
XM_043146063.1,XP_043014763.1
XM_043146064.1,XP_043014764.1
XM_043146065.1,XP_043014765.1
XM_043146066.1,XP_043014766.1
XM_043146067.1,XP_043014767.1
XM_043146068.1,XP_043014768.1
XM_043146069.1,XP_043014769.1
XM_043146070.1,XP_043014770.1
XM_043146071.1,XP_043014771.1
XM_043146072.1,XP_043014772.1
XM_043146073.1,XP_043014773.1
XM_043146074.1,XP_043014774.1
XM_043146075.1,XP_043014775.1
XM_043146076.1,XP_043014776.1
XM_043146077.1,XP_043014777.1
XM_043146078.1,XP_043014778.1
XM_043146079.1,XP_043014779.1
XM_043146080.1,XP_043014780.1
XM_043146081.1,XP_043014781.1
XM_043146082.1,XP_043014782.1
XM_043146083.1,XP_043014783.1
XM_043146084.1,XP_043014784.1
XM_043146085.1,XP_043014785.1
XM_043146086.1,XP_043014786.1
XM_043146087.1,XP_043014787.1
XM_043146088.1,XP_043014788.1
XM_043146089.1,XP_043014789.1
XM_043146090.1,XP_043014790.1
XM_043146091.1,XP_043014791.1
XM_043146092.1,XP_043014792.1
XM_043146093.1,XP_043014793.1
XM_043146094.1,XP_043014794.1
XM_043146095.1,XP_043014795.1
XM_043146096.1,XP_043014796.1
XM_043146097.1,XP_043014797.1
XM_043146098.1,XP_043014798.1
XM_043146099.1,XP_043014799.1
XM_043146100.1,XP_043014800.1
XM_043146101.1,XP_043014801.1
XM_043146102.1,XP_043014802.1
XM_043146103.1,XP_043014803.1
XM_043146104.1,XP_043014804.1
XM_043146105.1,XP_043014805.1
XM_043146106.1,XP_043014806.1
XM_043146107.1,XP_043014807.1
XM_043146108.1,XP_043014808.1
XM_043146110.1,XP_043014810.1
XM_043146111.1,XP_043014811.1
XM_043146109.1,XP_043014809.1
XM_043146112.1,XP_043014812.1
XM_043146113.1,XP_043014813.1
XM_043146114.1,XP_043014814.1
XM_043146115.1,XP_043014815.1
XM_043146116.1,XP_043014816.1
XM_043146117.1,XP_043014817.1
XM_043146118.1,XP_043014818.1
XM_043146119.1,XP_043014819.1
XM_043146120.1,XP_043014820.1
XM_043146121.1,XP_043014821.1
XM_043146122.1,XP_043014822.1
XM_043146123.1,XP_043014823.1
XM_043146124.1,XP_043014824.1
XM_043146126.1,XP_043014826.1
XM_043146125.1,XP_043014825.1
XM_043146127.1,XP_043014827.1
XM_043146128.1,XP_043014828.1
XM_043146129.1,XP_043014829.1
XM_043146130.1,XP_043014830.1
XM_043146131.1,XP_043014831.1
XM_043146132.1,XP_043014832.1
XM_043146133.1,XP_043014833.1
XM_043146134.1,XP_043014834.1
XM_043146135.1,XP_043014835.1
XM_043146136.1,XP_043014836.1
XM_043146137.1,XP_043014837.1
XM_043146138.1,XP_043014838.1
XM_043146139.1,XP_043014839.1
XM_043146140.1,XP_043014840.1
XM_043146141.1,XP_043014841.1
XM_043146142.1,XP_043014842.1
XM_043146143.1,XP_043014843.1
XM_043146144.1,XP_043014844.1
XM_043146145.1,XP_043014845.1
XM_043146146.1,XP_043014846.1
XM_043146147.1,XP_043014847.1
XM_043146148.1,XP_043014848.1
XM_043146149.1,XP_043014849.1
XM_043146150.1,XP_043014850.1
XM_043146151.1,XP_043014851.1
XM_043146152.1,XP_043014852.1
XM_043146153.1,XP_043014853.1
XM_043146154.1,XP_043014854.1
XM_043146155.1,XP_043014855.1
XM_043146156.1,XP_043014856.1
XM_043146157.1,XP_043014857.1
XM_043146158.1,XP_043014858.1
XM_043146159.1,XP_043014859.1
XM_043146160.1,XP_043014860.1
XM_043146161.1,XP_043014861.1
XM_043146162.1,XP_043014862.1
XM_043146163.1,XP_043014863.1
XM_043146164.1,XP_043014864.1
XM_043146165.1,XP_043014865.1
XM_043146166.1,XP_043014866.1
XM_043146167.1,XP_043014867.1
XM_043146168.1,XP_043014868.1
XM_043146169.1,XP_043014869.1
XM_043146170.1,XP_043014870.1
XM_043146171.1,XP_043014871.1
XM_043146172.1,XP_043014872.1
XM_043146173.1,XP_043014873.1
XM_043146174.1,XP_043014874.1
XM_043146175.1,XP_043014875.1
XM_043146176.1,XP_043014876.1
XM_043146179.1,XP_043014879.1
XM_043146178.1,XP_043014878.1
XM_043146177.1,XP_043014877.1
XM_043146180.1,XP_043014880.1
XM_043146183.1,XP_043014883.1
XM_043146182.1,XP_043014882.1
XM_043146181.1,XP_043014881.1
XM_043146184.1,XP_043014884.1
XM_043146185.1,XP_043014885.1
XM_043146186.1,XP_043014886.1
XM_043146187.1,XP_043014887.1
XM_043146188.1,XP_043014888.1
XM_043146189.1,XP_043014889.1
XM_043146190.1,XP_043014890.1
XM_043146191.1,XP_043014891.1
XM_043146192.1,XP_043014892.1
XM_043146193.1,XP_043014893.1
XM_043146194.1,XP_043014894.1
XM_043146195.1,XP_043014895.1
XM_043146196.1,XP_043014896.1
XM_043146197.1,XP_043014897.1
XM_043146198.1,XP_043014898.1
XM_043146199.1,XP_043014899.1
XM_043146200.1,XP_043014900.1
XM_043146201.1,XP_043014901.1
XM_043146202.1,XP_043014902.1
XM_043146203.1,XP_043014903.1
XM_043146204.1,XP_043014904.1
XM_043146205.1,XP_043014905.1
XM_043146206.1,XP_043014906.1
XM_043146208.1,XP_043014908.1
XM_043146207.1,XP_043014907.1
XM_043146209.1,XP_043014909.1
XM_043146210.1,XP_043014910.1
XM_043146211.1,XP_043014911.1
XM_043146212.1,XP_043014912.1
XM_043146213.1,XP_043014913.1
XM_043146214.1,XP_043014914.1
XM_043146216.1,XP_043014916.1
XM_043146215.1,XP_043014915.1
XM_043146217.1,XP_043014917.1
XM_043146218.1,XP_043014918.1
XM_043146219.1,XP_043014919.1
XM_043146220.1,XP_043014920.1
XM_043146221.1,XP_043014921.1
XM_043146222.1,XP_043014922.1
XM_043146223.1,XP_043014923.1
XM_043146224.1,XP_043014924.1
XM_043146225.1,XP_043014925.1
XM_043146226.1,XP_043014926.1
XM_043146227.1,XP_043014927.1
XM_043146229.1,XP_043014929.1
XM_043146232.1,XP_043014932.1
XM_043146231.1,XP_043014931.1
XM_043146228.1,XP_043014928.1
XM_043146230.1,XP_043014930.1
XM_043146233.1,XP_043014933.1
XM_043146234.1,XP_043014934.1
XM_043146235.1,XP_043014935.1
XM_043146236.1,XP_043014936.1
XM_043146238.1,XP_043014938.1
XM_043146239.1,XP_043014939.1
XM_043146237.1,XP_043014937.1
XM_043146240.1,XP_043014940.1
XM_043146241.1,XP_043014941.1
XM_043146242.1,XP_043014942.1
XM_043146243.1,XP_043014943.1
XM_043146244.1,XP_043014944.1
XM_043146245.1,XP_043014945.1
XM_043146246.1,XP_043014946.1
XM_043146247.1,XP_043014947.1
XM_043146248.1,XP_043014948.1
XM_043146249.1,XP_043014949.1
XM_043146250.1,XP_043014950.1
XM_043146251.1,XP_043014951.1
XM_043146252.1,XP_043014952.1
XM_043146253.1,XP_043014953.1
XM_043146254.1,XP_043014954.1
XM_043146256.1,XP_043014956.1
XM_043146255.1,XP_043014955.1
XM_043146257.1,XP_043014957.1
XM_043146258.1,XP_043014958.1
XM_043146259.1,XP_043014959.1
XM_043160698.1,XP_043014961.1
XM_043160697.1,XP_043014960.1
XM_043146260.1,XP_043014962.1
XM_043146261.1,XP_043014963.1
XM_043146262.1,XP_043014964.1
XM_043146263.1,XP_043014965.1
XM_043146264.1,XP_043014966.1
XM_043146265.1,XP_043014967.1
XM_043146266.1,XP_043014968.1
XM_043146267.1,XP_043014969.1
XM_043146268.1,XP_043014970.1
XM_043146269.1,XP_043014971.1
XM_043146270.1,XP_043014972.1
XM_043146271.1,XP_043014973.1
XM_043146272.1,XP_043014974.1
XM_043146273.1,XP_043014975.1
XM_043146274.1,XP_043014976.1
XM_043146275.1,XP_043014977.1
XM_043146276.1,XP_043014978.1
XM_043146277.1,XP_043014979.1
XM_043146278.1,XP_043014980.1
XM_043146279.1,XP_043014981.1
XM_043146280.1,XP_043014982.1
XM_043146281.1,XP_043014983.1
XM_043146282.1,XP_043014984.1
XM_043146283.1,XP_043014985.1
XM_043146284.1,XP_043014986.1
XM_043146285.1,XP_043014987.1
XM_043146287.1,XP_043014989.1
XM_043146289.1,XP_043014991.1
XM_043146290.1,XP_043014992.1
XM_043146286.1,XP_043014988.1
XM_043146288.1,XP_043014990.1
XM_043146291.1,XP_043014993.1
XM_043146293.1,XP_043014995.1
XM_043146292.1,XP_043014994.1
XM_043146294.1,XP_043014996.1
XM_043146295.1,XP_043014997.1
XM_043146296.1,XP_043014998.1
XM_043146297.1,XP_043014999.1
XM_043146298.1,XP_043015000.1
XM_043146299.1,XP_043015001.1
XM_043146300.1,XP_043015002.1
XM_043146302.1,XP_043015004.1
XM_043146301.1,XP_043015003.1
XM_043146303.1,XP_043015005.1
XM_043146304.1,XP_043015006.1
XM_043146305.1,XP_043015007.1
XM_043146306.1,XP_043015008.1
XM_043146307.1,XP_043015009.1
XM_043146308.1,XP_043015010.1
XM_043146309.1,XP_043015011.1
XM_043146310.1,XP_043015012.1
XM_043146311.1,XP_043015013.1
XM_043146312.1,XP_043015014.1
XM_043146313.1,XP_043015015.1
XM_043146314.1,XP_043015016.1
XM_043146315.1,XP_043015017.1
XM_043146316.1,XP_043015018.1
XM_043146317.1,XP_043015019.1
XM_043146318.1,XP_043015020.1
XM_043146319.1,XP_043015021.1
XM_043146320.1,XP_043015022.1
XM_043146321.1,XP_043015023.1
XM_043146322.1,XP_043015024.1
XM_043146323.1,XP_043015025.1
XM_043146324.1,XP_043015026.1
XM_043146325.1,XP_043015027.1
XM_043146326.1,XP_043015028.1
XM_043146327.1,XP_043015029.1
XM_043146328.1,XP_043015030.1
XM_043146329.1,XP_043015031.1
XM_043146330.1,XP_043015032.1
XM_043146331.1,XP_043015033.1
XM_043146332.1,XP_043015034.1
XM_043146333.1,XP_043015035.1
XM_043146334.1,XP_043015036.1
XM_043146335.1,XP_043015037.1
XM_043146336.1,XP_043015038.1
XM_043146337.1,XP_043015039.1
XM_043146338.1,XP_043015040.1
XM_043146339.1,XP_043015041.1
XM_043146340.1,XP_043015042.1
XM_043146341.1,XP_043015043.1
XM_043146342.1,XP_043015044.1
XM_043146343.1,XP_043015045.1
XM_043146344.1,XP_043015046.1
XM_043146345.1,XP_043015047.1
XM_043146346.1,XP_043015048.1
XM_043146347.1,XP_043015049.1
XM_043146349.1,XP_043015051.1
XM_043146348.1,XP_043015050.1
XM_043146351.1,XP_043015053.1
XM_043146350.1,XP_043015052.1
XM_043146352.1,XP_043015054.1
XM_043146353.1,XP_043015055.1
XM_043146354.1,XP_043015056.1
XM_043146356.1,XP_043015058.1
XM_043146355.1,XP_043015057.1
XM_043146357.1,XP_043015059.1
XM_043146358.1,XP_043015060.1
XM_043146359.1,XP_043015061.1
XM_043146360.1,XP_043015062.1
XM_043146363.1,XP_043015065.1
XM_043146362.1,XP_043015064.1
XM_043146361.1,XP_043015063.1
XM_043146364.1,XP_043015066.1
XM_043146365.1,XP_043015067.1
XM_043146366.1,XP_043015068.1
XM_043146367.1,XP_043015069.1
XM_043146368.1,XP_043015070.1
XM_043146369.1,XP_043015071.1
XM_043146370.1,XP_043015072.1
XM_043146371.1,XP_043015073.1
XM_043146373.1,XP_043015075.1
XM_043146372.1,XP_043015074.1
XM_043146374.1,XP_043015076.1
XM_043146375.1,XP_043015077.1
XM_043146376.1,XP_043015078.1
XM_043146377.1,XP_043015079.1
XM_043146378.1,XP_043015080.1
XM_043146379.1,XP_043015081.1
XM_043146380.1,XP_043015082.1
XM_043146381.1,XP_043015083.1
XM_043146382.1,XP_043015084.1
XM_043146383.1,XP_043015085.1
XM_043146384.1,XP_043015086.1
XM_043146385.1,XP_043015087.1
XM_043146386.1,XP_043015088.1
XM_043146387.1,XP_043015089.1
XM_043146388.1,XP_043015090.1
XM_043146389.1,XP_043015091.1
XM_043146390.1,XP_043015092.1
XM_043146391.1,XP_043015093.1
XM_043146395.1,XP_043015097.1
XM_043146393.1,XP_043015095.1
XM_043146394.1,XP_043015096.1
XM_043146392.1,XP_043015094.1
XM_043146396.1,XP_043015098.1
XM_043146397.1,XP_043015099.1
XM_043146398.1,XP_043015100.1
XM_043146399.1,XP_043015101.1
XM_043146400.1,XP_043015102.1
XM_043146401.1,XP_043015103.1
XM_043146402.1,XP_043015104.1
XM_043146403.1,XP_043015105.1
XM_043146404.1,XP_043015106.1
XM_043146405.1,XP_043015107.1
XM_043146406.1,XP_043015108.1
XM_043146407.1,XP_043015109.1
XM_043146408.1,XP_043015110.1
XM_043146409.1,XP_043015111.1
XM_043146410.1,XP_043015112.1
XM_043146411.1,XP_043015113.1
XM_043146412.1,XP_043015114.1
XM_043146413.1,XP_043015115.1
XM_043146414.1,XP_043015116.1
XM_043146415.1,XP_043015117.1
XM_043146416.1,XP_043015118.1
XM_043146417.1,XP_043015119.1
XM_043146418.1,XP_043015120.1
XM_043146419.1,XP_043015121.1
XM_043146420.1,XP_043015122.1
XM_043146421.1,XP_043015123.1
XM_043146422.1,XP_043015124.1
XM_043146423.1,XP_043015125.1
XM_043146424.1,XP_043015126.1
XM_043146425.1,XP_043015127.1
XM_043146426.1,XP_043015128.1
XM_043146427.1,XP_043015129.1
XM_043146428.1,XP_043015130.1
XM_043146429.1,XP_043015131.1
XM_043146430.1,XP_043015132.1
XM_043146431.1,XP_043015133.1
XM_043146432.1,XP_043015134.1
XM_043146433.1,XP_043015135.1
XM_043146434.1,XP_043015136.1
XM_043146436.1,XP_043015138.1
XM_043146435.1,XP_043015137.1
XM_043146437.1,XP_043015139.1
XM_043146438.1,XP_043015140.1
XM_043146439.1,XP_043015141.1
XM_043146440.1,XP_043015142.1
XM_043146441.1,XP_043015143.1
XM_043146442.1,XP_043015144.1
XM_043146443.1,XP_043015145.1
XM_043146444.1,XP_043015146.1
XM_043146445.1,XP_043015147.1
XM_043146446.1,XP_043015148.1
XM_043146447.1,XP_043015149.1
XM_043146448.1,XP_043015150.1
XM_043146449.1,XP_043015151.1
XM_043146450.1,XP_043015152.1
XM_043146451.1,XP_043015153.1
XM_043146452.1,XP_043015154.1
XM_043146453.1,XP_043015155.1
XM_043146454.1,XP_043015156.1
XM_043146455.1,XP_043015157.1
XM_043146456.1,XP_043015158.1
XM_043146457.1,XP_043015159.1
XM_043146458.1,XP_043015160.1
XM_043146459.1,XP_043015161.1
XM_043146460.1,XP_043015162.1
XM_043146461.1,XP_043015163.1
XM_043146462.1,XP_043015164.1
XM_043146463.1,XP_043015165.1
XM_043146464.1,XP_043015166.1
XM_043146465.1,XP_043015167.1
XM_043146466.1,XP_043015168.1
XM_043146467.1,XP_043015169.1
XM_043146468.1,XP_043015170.1
XM_043146469.1,XP_043015171.1
XM_043146470.1,XP_043015172.1
XM_043146471.1,XP_043015173.1
XM_043146472.1,XP_043015174.1
XM_043146473.1,XP_043015175.1
XM_043146474.1,XP_043015176.1
XM_043146475.1,XP_043015177.1
XM_043146476.1,XP_043015178.1
XM_043146477.1,XP_043015179.1
XM_043146478.1,XP_043015180.1
XM_043146479.1,XP_043015181.1
XM_043146480.1,XP_043015182.1
XM_043146481.1,XP_043015183.1
XM_043146482.1,XP_043015184.1
XM_043146483.1,XP_043015185.1
XM_043146484.1,XP_043015186.1
XM_043146485.1,XP_043015187.1
XM_043160699.1,XP_043015188.1
XM_043146486.1,XP_043015189.1
XM_043146487.1,XP_043015190.1
XM_043146488.1,XP_043015191.1
XM_043146489.1,XP_043015192.1
XM_043146490.1,XP_043015193.1
XM_043146491.1,XP_043015194.1
XM_043146492.1,XP_043015195.1
XM_043146493.1,XP_043015196.1
XM_043146494.1,XP_043015197.1
XM_043146495.1,XP_043015198.1
XM_043146496.1,XP_043015199.1
XM_043146497.1,XP_043015200.1
XM_043146498.1,XP_043015201.1
XM_043146499.1,XP_043015202.1
XM_043146500.1,XP_043015203.1
XM_043146501.1,XP_043015204.1
XM_043146503.1,XP_043015206.1
XM_043146502.1,XP_043015205.1
XM_043146504.1,XP_043015207.1
XM_043146505.1,XP_043015208.1
XM_043146506.1,XP_043015209.1
XM_043146507.1,XP_043015210.1
XM_043146508.1,XP_043015211.1
XM_043146509.1,XP_043015212.1
XM_043146510.1,XP_043015213.1
XM_043146511.1,XP_043015214.1
XM_043146512.1,XP_043015215.1
XM_043146513.1,XP_043015216.1
XM_043146514.1,XP_043015217.1
XM_043146515.1,XP_043015218.1
XM_043146516.1,XP_043015219.1
XM_043146517.1,XP_043015220.1
XM_043146518.1,XP_043015221.1
XM_043146520.1,XP_043015223.1
XM_043146519.1,XP_043015222.1
XM_043146521.1,XP_043015224.1
XM_043146522.1,XP_043015225.1
XM_043146523.1,XP_043015226.1
XM_043146524.1,XP_043015227.1
XM_043146525.1,XP_043015228.1
XM_043146526.1,XP_043015229.1
XM_043146527.1,XP_043015230.1
XM_043146528.1,XP_043015231.1
XM_043146529.1,XP_043015232.1
XM_043146530.1,XP_043015233.1
XM_043146531.1,XP_043015234.1
XM_043146532.1,XP_043015235.1
XM_043146534.1,XP_043015237.1
XM_043146533.1,XP_043015236.1
XM_043146535.1,XP_043015238.1
XM_043146536.1,XP_043015239.1
XM_043146537.1,XP_043015240.1
XM_043146538.1,XP_043015241.1
XM_043146539.1,XP_043015242.1
XM_043146540.1,XP_043015243.1
XM_043146541.1,XP_043015244.1
XM_043146542.1,XP_043015245.1
XM_043146543.1,XP_043015246.1
XM_043146545.1,XP_043015248.1
XM_043146544.1,XP_043015247.1
XM_043146546.1,XP_043015249.1
XM_043146547.1,XP_043015250.1
XM_043146548.1,XP_043015251.1
XM_043146549.1,XP_043015252.1
XM_043146550.1,XP_043015253.1
XM_043146551.1,XP_043015254.1
XM_043146552.1,XP_043015255.1
XM_043146553.1,XP_043015256.1
XM_043146554.1,XP_043015257.1
XM_043146557.1,XP_043015260.1
XM_043146556.1,XP_043015259.1
XM_043146555.1,XP_043015258.1
XM_043146558.1,XP_043015261.1
XM_043146559.1,XP_043015262.1
XM_043146560.1,XP_043015263.1
XM_043146561.1,XP_043015264.1
XM_043146562.1,XP_043015265.1
XM_043146563.1,XP_043015266.1
XM_043146564.1,XP_043015267.1
XM_043146565.1,XP_043015268.1
XM_043146566.1,XP_043015269.1
XM_043146567.1,XP_043015270.1
